book_id,authors,original_publication_year,title,small_image_url
1,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603s/2767052.jpg
2,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022s/3.jpg
3,Stephenie Meyer,2005,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443s/41865.jpg
4,Harper Lee,1960,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680s/2657.jpg
5,F. Scott Fitzgerald,1925,The Great Gatsby,https://images.gr-assets.com/books/1490528560s/4671.jpg
6,John Green,2012,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420s/11870085.jpg
7,J.R.R. Tolkien,1937,The Hobbit,https://images.gr-assets.com/books/1372847500s/5907.jpg
8,J.D. Salinger,1951,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300s/5107.jpg
9,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735s/960.jpg
10,Jane Austen,1813,Pride and Prejudice,https://images.gr-assets.com/books/1320399351s/1885.jpg
11,Khaled Hosseini,2003,The Kite Runner,https://images.gr-assets.com/books/1484565687s/77203.jpg
12,Veronica Roth,2011,"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506s/13335037.jpg
13,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,https://images.gr-assets.com/books/1348990566s/5470.jpg
14,George Orwell,1945,Animal Farm,https://images.gr-assets.com/books/1424037542s/7613.jpg
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407s/48855.jpg
